,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.044,0.1213,0.4151,"x, y, z",192 i,1,1
1,V2,3,0.2663,0.2663,0.357,"x, x, z",96 g,m,2
2,V3,3,0.0792,0.0792,0.5792,"x, x, 1/2+x",32 e,3m,6
3,V4,3,0.3281,0.3281,0.3281,"x, x, x",32 e,3m,6
4,V5,3,0.125,0.125,0.3708,"1/8, 1/8, z",48 f,mm2,4
5,V6,3,0.0197,0.0197,0.2303,"x, x, 1/4-x",32 e,3m,6
6,V7,3,0.1266,0.2551,0.2551,"x, y, y",96 g,m,2
7,V8,3,0.0858,0.1642,0.299,"x, 1/4-x, z",96 g,m,2
8,V9,3,0.2022,0.2925,0.2925,"x, y, y",96 g,m,2
9,V10,3,0.0,0.1622,0.3378,"0, y, 1/2-y",96 h,2,2
10,V11,3,0.0926,0.0926,0.4052,"x, x, z",96 g,m,2
11,V12,3,0.0,0.1217,0.3783,"0, y, 1/2-y",96 k,2,2
12,V13,3,0.0341,0.1518,0.4626,"x, y, z",192 i,1,1
13,V14,3,0.3048,0.3048,0.375,"x, x, z",96 g,m,2
14,V15,3,0.125,0.125,0.3135,"1/8, 1/8, z",48 f,mm2,4
15,V16,3,0.1839,0.2541,0.2541,"x, y, y",96 g,m,2
16,V17,3,0.0312,0.1483,0.2918,"x, y, z",192 i,1,1
