,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,12,21,30,43,60,77,98,125,476,8.8.8
1,V2,3,6,12,21,30,43,60,75,95,122,468,8.8.8
2,V3,3,6,12,21,30,43,60,75,93,116,460,8.8.8
3,V4,3,6,12,18,30,44,54,78,96,114,456,8(2).8(2).8(2)
4,V5,3,6,12,18,30,44,56,82,102,126,480,8(2).8(2).8(2)
5,V6,3,6,12,21,30,43,63,81,102,133,495,8.8.8
6,V7,3,6,12,21,31,45,63,83,105,135,505,8.8.8
7,V8,3,6,12,21,31,45,64,83,104,135,505,8.8.8
8,V9,3,6,12,18,30,44,55,80,101,124,474,8(2).8(2).8(2)
9,V10,3,6,12,18,30,46,58,83,107,132,496,8(2).8(2).8(2)
10,V11,3,6,12,20,30,42,58,76,100,125,473,8(2).8(2).10(2)
11,V12,3,6,12,20,30,42,60,78,99,128,479,8(2).8(2).10(2)
12,V13,3,6,12,20,30,42,58,75,97,124,468,8(2).8(2).10(2)
13,V14,3,6,12,20,30,42,58,74,94,119,459,8(2).8(2).10(2)
14,V15,3,6,12,20,30,44,62,80,106,134,498,8(2).8(2).10(2)
15,V16,3,6,12,20,30,43,60,79,104,132,490,8(2).8(2).10(2)
16,V17,3,6,12,20,31,44,62,82,106,135,502,8(2).8(2).10
