,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.1759,0.0,"0, y, 0",12 d,mm2
1,E2,0.0,0.2392,0.0841,"0, y, z",24 g,m
2,E3,0.0517,0.1396,0.0846,"x, y, z",48 h,1
3,E4,0.1443,0.2351,0.1771,"x, y, z",48 h,1
4,E5,0.0547,0.2966,0.1385,"x, y, z",48 h,1
5,E6,0.1453,0.3316,0.1376,"x, y, z",48 h,1
6,E7,0.0876,0.2878,0.2369,"x, y, z",48 h,1
7,E8,0.1413,0.1413,0.1413,"x, x, x",16 f,3
8,E9,0.0512,0.0,0.344,"x, 0, z",24 g,2
9,E10,0.4098,0.0,0.0612,"x, 0, z",24 g,2
10,E11,0.0502,0.1518,0.4032,"x, y, z",48 h,1
11,E12,0.0832,0.233,0.3357,"x, y, z",48 h,1
12,E13,0.1578,0.1911,0.4032,"x, y, z",48 h,1
13,E14,0.1224,0.5,0.0,"x, 1/2, 0",12 e,mm2
14,E15,0.0,0.2849,0.299,"0, y, z",24 g,m
