,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0408,0.323,0.323,"x, y, y",12 i,m,2
1,V2,4,0.0634,0.2643,0.5565,"x, y, z",24 j,1,1
2,V3,4,0.1833,0.1833,0.1833,"x, x, x",4 e,3m,6
3,V4,4,0.2814,0.2814,0.2814,"x, x, x",4 e,3m,6
4,V5,4,0.0161,0.2041,0.2041,"x, y, y",12 i,m,2
5,V6,4,0.0,0.0,0.5,"0, 0, 1/2",3 d,-4m2,8
6,V7,4,0.2165,0.3366,0.5433,"x, y, z",24 j,1,1
7,V8,4,0.06,0.06,0.7481,"x, x, z",12 i,m,2
8,V9,4,0.1022,0.1022,0.5891,"x, x, z",12 i,m,2
9,V10,4,0.1887,0.382,0.382,"x, y, y",12 i,m,2
