,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,40,68,102,134,173,220,278,1056,5.5.5.5.5.5
1,V2,4,12,24,40,65,99,138,174,221,272,1050,5.5.5.5.5.5
2,V3,4,12,24,39,69,102,123,165,228,303,1070,5.5.5.5.5.5
3,V4,4,12,24,42,72,111,132,165,228,279,1070,5.5.5.5.5.5
4,V5,4,12,25,42,63,92,131,171,229,285,1055,5.5.5.5.5.6
5,V6,4,12,24,36,60,96,132,168,226,260,1019,5.5.5.5.5.5
6,V7,4,12,26,45,70,100,137,183,229,279,1086,5.5.5.6.5.6
7,V8,4,12,25,41,63,86,123,173,220,276,1024,5.5.5.5.5.6
8,V9,4,12,24,38,62,96,129,176,217,268,1027,5.5.5.5.5.5
9,V10,4,12,25,44,72,103,139,177,217,287,1081,5.5.5.5.5.6
