,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.9887,0.2936,0.3833,"x, y, z",24 j,1
1,E2,0.0284,0.2635,0.2635,"x, y, y",12 i,m
2,E3,0.1147,0.3525,0.3525,"x, y, y",12 i,2
3,E4,0.0,0.2643,0.5,"0, y, 1/2",12 h,2
4,E5,0.14,0.3005,0.5499,"x, y, z",24 j,1
5,E6,0.0828,0.1833,0.5728,"x, y, z",24 j,1
6,E7,0.2323,0.2323,0.2323,"x, x, x",4 e,3m
7,E8,0.1937,0.0997,0.1937,"x, y, x",12 i,m
8,E9,0.3317,0.235,0.3317,"x, y, x",12 i,m
9,E10,0.9781,0.132,0.228,"x, y, z",24 j,1
10,E11,0.0511,0.0511,0.5445,"x, x, z",12 i,m
11,E12,0.2766,0.2766,0.5433,"x, x, z",12 i,m
12,E13,0.2165,0.3967,0.6033,"x, y, 1-y",12 i,m
13,E14,0.2026,0.3593,0.4626,"x, y, z",24 j,1
14,E15,0.0,0.0,0.7481,"0, 0, z",6 f,mm2
15,E16,0.0811,0.0811,0.6686,"x, x, z",12 i,m
