,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.3138,0.373,"0, y, z",12 n,m,2
1,V2,4,0.2569,0.5138,0.0,"x, 2x, 0",6 l,mm2,4
2,V3,4,0.0,0.1324,0.5,"0, y, 1/2",6 k,mm2,4
3,V4,4,0.2003,0.4006,0.1705,"x, 2x, z",12 o,m,2
4,V5,4,0.0764,0.5382,0.1863,"2y, y, z",12 o,m,2
5,V6,4,0.2009,0.5343,0.5,"x, y, 1/2",12 q,m,2
6,V7,4,0.1191,0.4481,0.3037,"x, y, z",24 r,1,1
7,V8,4,0.1249,0.2498,0.127,"x, 2x, z",12 o,m,2
8,V9,4,0.0,0.192,0.2732,"0, y, z",12 n,m,2
9,V10,4,0.1804,0.5902,0.0,"2y, y, 0",6 l,mm2,4
