,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,38,66,107,134,168,226,280,1060,5.5.5.5.5.5
1,V2,4,12,25,44,68,97,126,172,233,287,1069,5.5.5.5.5.6
2,V3,4,12,25,46,76,106,144,193,238,292,1137,5.5.5.5.5.6
3,V4,4,12,24,42,68,93,129,181,225,275,1054,5.5.5.5.5.5
4,V5,4,12,25,42,65,92,126,169,222,277,1035,5.5.5.5.5.6
5,V6,4,12,25,40,62,92,126,173,224,278,1037,5.5.5.5.5.6
6,V7,4,12,24,40,64,93,131,173,217,275,1034,5.5.5.5.5.5
7,V8,4,12,26,45,70,104,146,192,229,283,1112,5.5.5.6.5.6
8,V9,4,12,25,43,72,107,144,182,237,286,1113,5.5.5.5.5.6
9,V10,4,12,26,44,68,97,128,166,226,294,1066,5.5.5.5.6.6
