,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3138,0.5,"0, y, 1/2",6 j,mm2
1,E2,0.0596,0.381,0.3383,"x, y, z",24 r,1
2,E3,0.0,0.2529,0.3231,"0, y, z",12 n,m
3,E4,0.2286,0.4572,0.0853,"x, 2x, z",12 o,m
4,E5,0.2186,0.552,0.0,"x, y, 0",12 m,m
5,E6,0.9338,0.0662,0.5,"x, 1-x, 1/2",6 m,mm2
6,E7,0.0,0.1622,0.3866,"0, y, z",12 n,m
7,E8,0.1597,0.4243,0.2371,"x, y, z",24 r,1
8,E9,0.1626,0.3252,0.1488,"x, 2x, z",12 o,m
9,E10,0.0,0.5,0.1863,"0, 1/2, z",6 i,mm2
10,E11,0.0978,0.4932,0.245,"x, y, z",24 r,1
11,E12,0.1284,0.5642,0.0931,"2y, y, z",12 o,m
12,E13,0.201,0.6005,0.5,"2y, y, 1/2",6 m,mm2
13,E14,0.2671,0.5342,0.5,"x, 2x, 1/2",6 m,mm2
14,E15,0.16,0.4912,0.4018,"x, y, z",24 r,1
15,E16,0.1249,0.2498,0.0,"x, 2x, 0",6 l,mm2
16,E17,0.0624,0.2209,0.2001,"x, y, z",24 r,1
