,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.25,0.1151,0.4662,"1/4, y, z",8 g,m,2
1,V2,4,0.75,0.1151,0.1042,"3/4, y, z",8 g,m,2
2,V3,4,0.0045,0.0489,0.4379,"x, y, z",16 h,1,1
3,V4,4,0.5689,0.25,0.3126,"x, 1/4, z",8 g,m,2
4,V5,4,0.25,0.1151,0.2276,"1/4, y, z",8 g,m,2
5,V6,4,0.0695,0.0355,0.2853,"x, y, z",16 h,1,1
6,V7,4,0.0239,0.25,0.0457,"x, 1/4, y",8 g,m,2
7,V8,4,0.25,0.25,0.0918,"1/4,1/4, z",4 c,mm2,4
8,V9,4,0.75,0.25,0.25,"3/4, 1/4, 1/4",2 b,-4m2,8
9,V10,4,0.25,0.0438,0.1462,"1/4, y, z",8 g,m,2
10,V11,4,0.035,0.6151,0.1345,"x, y, z",16 h,1,1
