,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,26,47,76,110,147,185,233,285,1126,5.5.5.6.5.6
1,V2,4,12,24,40,67,108,139,179,234,288,1096,5.5.5.5.5.5
2,V3,4,12,25,44,75,105,143,187,230,285,1111,5.5.5.5.5.6
3,V4,4,12,24,36,60,91,128,175,224,283,1038,5.5.5.5.5.5
4,V5,4,12,24,38,61,89,125,169,229,294,1046,5.5.5.5.5.5
5,V6,4,12,24,38,59,89,125,175,228,282,1037,5.5.5.5.5.5
6,V7,4,12,26,48,74,107,147,188,227,287,1121,5.5.5.6.5.6
7,V8,4,12,24,42,74,104,128,176,236,284,1085,5.5.5.5.5.5
8,V9,4,12,24,36,52,84,136,176,208,276,1009,5.5.5.5.5.5
9,V10,4,12,25,42,66,98,128,178,234,285,1073,5.5.5.5.5.6
10,V11,4,12,25,42,66,95,135,180,232,290,1082,5.5.5.5.5.6
