,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.25,0.4662,"1/4, 1/4, z",4 c,mm2
1,E2,0.1272,0.082,0.4521,"x, y, z",16 h,1
2,E3,0.25,0.0695,0.506,"1/4, y, z",8 g,m
3,E4,0.75,0.25,0.1042,"3/4, 1/4, z",4 c,mm2
4,E5,0.6495,0.0553,0.0831,"x, y, z",16 h,1
5,E6,0.75,0.092,0.1458,"3/4, y, z",8 g,m
6,E7,0.8773,0.0125,0.4461,"x, y, z",16 h,1
7,E8,0.0598,0.0069,0.4017,"x, y, z",16 h,1
8,E9,0.4997,0.3572,0.299,"x, y, z",16 h,1
9,E10,0.6594,0.25,0.2813,"x, 1/4, z",8 g,m
10,E11,0.25,0.25,0.2276,"1/4, 1/4, z",4 d,mm2
11,E12,0.1597,0.0753,0.2564,"x, y, z",16 h,1
12,E13,0.25,0.0795,0.1869,"1/4, y, z",8 g,m
13,E14,0.017,0.983,0.25,"x, 1-x, 1/4",8 f,2
14,E15,0.0923,0.0002,0.3254,"x, y, z",16 h,1
15,E16,0.137,0.25,0.0687,"x, 1/4, z",8 g,m
16,E17,0.25,0.1469,0.119,"1/4, y, z",8 g,m
17,E18,0.3575,0.9644,0.1404,"x, y, z",16 h,1
18,E19,0.035,0.75,0.1345,"x, 3/4, z",8 g,m
