,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.2902,0.0,"0, y, 0",6 j,mm2,4
1,V2,4,0.1857,0.3714,0.2753,"x, 2x, z",12 o,m,2
2,V3,4,0.1895,0.379,0.1295,"x, 2x, z",12 o,m,2
3,V4,4,0.3333,0.6667,0.2406,"1/3, 2/3, z",4 h,3m,6
4,V5,4,0.0,0.2902,0.4049,"0, y, z",12 n,m,2
5,V6,4,0.3333,0.6667,0.4633,"1/3, 2/3, z",4 h,3m,6
6,V7,4,0.0,0.3549,0.0716,"0, y, z",12 n,m,2
7,V8,4,0.3333,0.6667,0.1672,"1/3, 2/3, z",4 h,3m,6
8,V9,4,0.1676,0.3352,0.2023,"x, 2x, z",12 o,m,2
9,V10,4,0.0,0.3549,0.3333,"0, y, z",12 n,m,2
10,V11,4,0.0,0.5,0.4557,"0, 1/2, z",6 i,mm2,4
