,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,26,46,72,102,132,162,196,234,987,5.5.5.5.6.6
1,V2,4,12,24,38,57,86,125,168,222,289,1026,5.5.5.5.5.5
2,V3,4,12,24,40,67,93,123,159,202,246,971,5.5.5.5.5.5
3,V4,4,12,24,36,61,91,121,163,213,282,1008,5.5.5.5.5.5
4,V5,4,12,25,43,70,107,152,207,267,338,1226,5.5.5.5.5.6
5,V6,4,12,27,51,82,125,175,228,282,348,1335,5.6.5.6.5.6
6,V7,4,12,25,44,69,96,128,164,192,238,973,5.5.5.5.5.6
7,V8,4,12,24,39,63,101,119,156,213,249,981,5.5.5.5.5.5
8,V9,4,12,25,40,60,86,116,161,214,267,986,5.5.5.5.5.6
9,V10,4,12,24,38,62,91,127,180,242,309,1090,5.5.5.5.5.5
10,V11,4,12,25,46,82,118,162,218,280,348,1296,5.5.5.5.5.6
