,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.8549,0.1451,0.0,"x, 1-x, 0",6 l,mm2
1,E2,0.0,0.3225,0.0358,"0, y, z",12 n,m
2,E3,0.2595,0.519,0.258,"x, 2x, z",12 o,m
3,E4,0.1766,0.3532,0.2388,"x, 2x, z",12 o,m
4,E5,0.0928,0.3631,0.3043,"x, y, z",24 r,1
5,E6,0.0948,0.3669,0.1005,"x, y, z",24 r,1
6,E7,0.2614,0.5228,0.1484,"x, 2x, z",12 o,m
7,E8,0.1785,0.357,0.1659,"x, 2x, z",12 o,m
8,E9,0.3333,0.6667,0.2039,"1/3, 2/3, z",4 h,3m
9,E10,0.8549,0.1451,0.4049,"x, 1-x, z",12 n,m
10,E11,0.0,0.3225,0.3691,"0, y, z",12 n,m
11,E12,0.0,0.3951,0.4303,"0, y, z",12 n,m
12,E13,0.3333,0.6667,0.5,"1/3, 2/3, 1/2",2 d,-6m2
13,E14,0.4167,0.8334,0.4595,"x, 2x, z",12 o,m
14,E15,0.0,0.5,0.0716,"0, 1/2, z",6 i,mm2
15,E16,0.2513,0.2513,0.2023,"x, x, z",12 n,m
16,E17,0.0,0.5,0.3333,"0, 1/2, z",6 i,mm2
