,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.3625,0.3625,0.0434,"x, x, z",8 j,m,2
1,V2,4,0.1958,0.1958,0.3061,"x, x, z",8 j,m,2
2,V3,4,0.1324,0.1324,0.0,"x, x, 0",4 f,mm2,4
3,V4,4,0.095,0.095,0.3797,"x, x, z",8 j,m,2
4,V5,4,0.0,0.5,0.25,"0, 1/2, 1/4",4 d,-4,4
5,V6,4,0.0913,0.7187,0.0,"x, y, 0",8 i,m,2
6,V7,4,0.1926,0.1926,0.0823,"x, x, z",8 j,m,2
7,V8,4,0.0081,0.3659,0.1114,"x, y, z",16 k,1,1
8,V9,4,0.0722,0.2946,0.4373,"x, y, z",16 k,1,1
9,V10,4,0.095,0.095,0.2326,"x, x, z",8 j,m,2
10,V11,4,0.2025,0.4644,0.3059,"x, y, z",16 k,1,1
