,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,38,64,103,130,171,232,290,1069,5.5.5.5.5.5
1,V2,4,12,25,44,72,103,145,186,235,291,1118,5.5.5.5.5.6
2,V3,4,12,25,42,64,92,134,177,240,292,1083,5.5.5.5.5.6
3,V4,4,12,25,43,68,99,137,184,233,292,1098,5.5.5.5.5.6
4,V5,4,12,24,44,76,104,136,190,240,292,1123,5.5.5.5.5.5
5,V6,4,12,25,42,66,94,126,183,238,290,1081,5.5.5.5.5.6
6,V7,4,12,25,41,66,99,131,182,236,291,1088,5.5.5.5.5.6
7,V8,4,12,25,43,68,98,137,182,236,295,1101,5.5.5.5.5.6
8,V9,4,12,24,40,66,95,134,178,229,291,1074,5.5.5.5.5.5
9,V10,4,12,26,45,73,112,145,184,239,303,1144,5.5.5.5.6.6
10,V11,4,12,25,45,72,104,142,188,237,296,1126,5.5.5.5.5.6
