,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3625,0.3625,0.0,"x, x, 0",4 g,mm2
1,E2,0.2776,0.2776,0.0628,"x, x, z",8 j,m
2,E3,0.284,0.4674,0.0531,"x, y, z",16 k,1
3,E4,0.1454,0.1454,0.3429,"x, x, z",8 j,m
4,E5,0.1454,0.1454,0.2693,"x, x, z",8 j,m
5,E6,0.1992,0.3301,0.306,"x, y, z",16 k,1
6,E7,0.0205,0.2069,0.0,"x, y, 0",8 i,m
7,E8,0.1625,0.1625,0.0411,"x, x, z",8 j,m
8,E9,0.0,0.0,0.3797,"0, 0, z",4 e,mm2
9,E10,0.0836,0.1948,0.4085,"x, y, z",16 k,1
10,E11,0.1013,0.4822,0.278,"x, y, z",16 k,1
11,E12,0.1863,0.8137,0.0,"x, 1-x, 0",4 f,mm2
12,E13,0.1484,0.6454,0.9686,"x, y, z",16 k,1
13,E14,0.1004,0.2793,0.0968,"x, y, z",16 k,1
14,E15,0.0,0.5,0.1114,"0, 1/2, z",8 h,2
15,E16,0.9014,0.3968,0.0871,"x, y, z",16 k,1
16,E17,0.9863,0.3317,0.1527,"x, y, z",16 k,1
17,E18,0.0,0.0,0.2326,"0, 0, z",4 e,mm2
18,E19,0.0297,0.1963,0.2133,"x, y, z",16 k,1
