,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.125,0.266,0.1177,"x, y, z",24 l,1,1
1,V2,4,0.1993,0.2813,0.25,"x, y, 1/4",12 j,m,2
2,V3,4,0.082,0.1639,0.0,"x, 2x, 0",12 i,2,2
3,V4,4,0.0,0.4162,0.1395,"0, y, z",12 k,m,2
4,V5,4,0.3333,0.6667,0.1746,"1/3, 2/3, z",8 h,3,3
5,V6,4,0.3264,0.4345,0.25,"x, y, 1/4",12 j,m,2
6,V7,4,0.0,0.2781,0.1746,"0, y, z",12 k,m,2
7,V8,4,0.1312,0.524,0.0611,"x, y, z",24 l,1,1
8,V9,4,0.1905,0.4217,0.0722,"x, y, z",24 l,1,1
9,V10,4,0.3333,0.5297,0.1351,"x, y, z",24 l,1,1
10,V11,4,0.0,0.5128,0.25,"0, y, 1/4",6 g,mm2,4
