,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,25,45,74,106,143,182,231,287,1110,5.5.5.5.5.6
1,V2,4,12,26,44,71,108,140,179,230,284,1099,5.5.5.6.5.6
2,V3,4,12,27,50,80,114,150,188,224,272,1122,5.5.5.6.6.6
3,V4,4,12,25,40,65,98,127,176,235,278,1061,5.5.5.5.5.6
4,V5,4,12,24,36,58,92,124,159,228,292,1030,5.5.5.5.5.5
5,V6,4,12,24,40,62,89,132,176,222,282,1044,5.5.5.5.5.5
6,V7,4,12,24,43,73,107,139,182,229,292,1106,5.5.5.5.5.5
7,V8,4,12,25,40,60,89,132,173,221,284,1041,5.5.5.5.5.6
8,V9,4,12,24,40,65,95,127,175,238,287,1068,5.5.5.5.5.5
9,V10,4,12,24,38,61,90,123,176,224,284,1037,5.5.5.5.5.5
10,V11,4,12,24,40,62,90,132,178,222,286,1051,5.5.5.5.5.5
