,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1622,0.2737,0.1839,"x, y, z",24 l,1
1,E2,0.1035,0.2149,0.0589,"x, y, z",24 l,1
2,E3,0.0625,0.2721,0.1462,"x, y, z",24 l,1
3,E4,0.1578,0.3439,0.095,"x, y, z",24 l,1
4,E5,0.2403,0.2403,0.25,"x, x, 1/4",6 g,mm2
5,E6,0.2629,0.3579,0.25,"x, y, 1/4",12 j,m
6,E7,0.1229,0.1229,0.0,"x, x, z",12 k,m
7,E8,0.0,0.3472,0.1571,"0, y, z",12 k,m
8,E9,0.0656,0.4701,0.1003,"x, y, z",24 l,1
9,E10,0.0,0.4645,0.1948,"0, y, z",12 k,m
10,E11,0.3333,0.6667,0.25,"1/3, 2/3, 1/4",4 c,-6
11,E12,0.3333,0.5982,0.1548,"x, y, z",24 l,1
12,E13,0.3299,0.4821,0.1925,"x, y, z",24 l,1
13,E14,0.4068,0.4609,0.25,"x, y, 1/4",12 j,m
14,E15,0.0,0.2781,0.25,"0, y, 1/4",6 g,mm2
15,E16,0.1312,0.5656,0.0,"2y, y, 0",12 i,2
16,E17,0.1609,0.4728,0.0667,"x, y, z",24 l,1
17,E18,0.1638,0.5953,0.0981,"x, y, z",24 l,1
18,E19,0.2109,0.4218,0.0,"x, 2x, 0",12 i,2
19,E20,0.2619,0.4757,0.1036,"x, y, z",24 l,1
