,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.1387,0.1012,0.1975,"x, y, z",36 f,1,1
1,V2,4,0.2145,0.1553,0.152,"x, y, z",36 f,1,1
2,V3,4,0.0,0.2255,0.75,"0, y, 3/4",18 e,2,2
3,V4,4,0.0,0.3433,0.25,"0, y, 1/4",18 e,2,2
4,V5,4,0.2476,0.2826,0.0148,"x, y, z",36 f,1,1
5,V6,4,0.0219,0.0765,0.0013,"x, y, z",36 f,1,1
6,V7,4,0.2653,0.1298,0.2098,"x, y, z",36 f,1,1
7,V8,4,0.1866,0.2946,0.0517,"x, y, z",36 f,1,1
8,V9,4,0.0,0.2336,0.25,"0, y, 1/4",18 e,2,2
9,V10,4,0.0369,0.1392,0.1902,"x, y, z",36 f,1,1
10,V11,4,0.0559,0.2149,0.1919,"x, y, z",36 f,1,1
