,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,38,60,89,121,164,219,278,1010,5.5.5.5.5.5
1,V2,4,12,24,39,67,103,136,178,231,285,1080,5.5.5.5.5.5
2,V3,4,12,24,42,70,104,146,190,234,292,1119,5.5.5.5.5.5
3,V4,4,12,27,52,84,120,160,206,265,328,1259,5.5.5.6.6.6
4,V5,4,12,25,45,76,108,149,197,246,303,1166,5.5.5.5.5.6
5,V6,4,12,25,40,58,79,112,159,219,285,994,5.5.5.5.5.6
6,V7,4,12,25,43,70,102,143,191,236,292,1119,5.5.5.5.5.6
7,V8,4,12,26,46,72,104,146,199,245,293,1148,5.5.5.6.5.6
8,V9,4,12,25,42,70,108,148,192,241,298,1141,5.5.5.5.5.6
9,V10,4,12,24,38,60,88,120,165,213,276,1001,5.5.5.5.5.5
10,V11,4,12,24,39,65,102,138,175,226,286,1072,5.5.5.5.5.5
