,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3214,0.3214,"0, y, y",24 h,mm2
1,E2,0.9851,0.3606,0.3606,"x, y, y",48 k,m
2,E3,0.0,0.2717,0.2928,"0, y, z",48 j,m
3,E4,0.0,0.2641,0.2641,"0, y, y",24 h,mm2
4,E5,0.0,0.2179,0.301,"0, y, z",48 j,m
5,E6,0.0149,0.1712,0.3308,"x, y, z",96 l,1
6,E7,0.0,0.1495,0.3446,"0, y, z",48 j,m
7,E8,0.0519,0.1328,0.3551,"x, y, z",96 l,1
8,E9,0.0952,0.0952,0.3657,"x, x, z",48 k,m
9,E10,0.091,0.112,0.3898,"x, y, z",96 l,1
10,E11,0.1212,0.1212,0.5,"x, y, 1/2",24 h,mm2
11,E12,0.1145,0.1145,0.4421,"x, x, z",48 k,m
