,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0579,0.0579,0.4181,"x, x, z",96 k,m
1,E2,0.0,0.0819,0.4181,"0, y, 1/2-y",48 h,mm2
2,E3,0.0579,0.0819,0.3941,"x, y, z",192 l,1
3,E4,0.1059,0.0819,0.3941,"x, y, 1/2-x",96 k,m
4,E5,0.0865,0.0865,0.3368,"x, x, z",96 k,m
5,E6,0.0826,0.1066,0.2745,"x, y, z",192 l,1
6,E7,0.0,0.25,0.25,"0, 1/4, 1/4",24 d,mmm
7,E8,0.017,0.197,0.221,"x, y, z",192 l,1
8,E9,0.0981,0.0981,0.2456,"x, x, z",96 k,m
9,E10,0.054,0.1451,0.2308,"x, y, z",192 l,1
10,E11,0.0,0.1681,0.2161,"0, y, z",96 j,m
11,E12,0.0339,0.1921,0.1921,"x, y, y",96 k,m
