,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.127,0.127,0.16,"x, x, z",16 m,m
1,E2,0.0,0.1796,0.16,"0, y, z",16 n,m
2,E3,0.0744,0.251,0.1451,"x, y, z",32 o,1
3,E4,0.1222,0.2273,0.1822,"x, y, z",32 o,1
4,E5,0.0,0.3224,0.1301,"0, y, z",16 n,m
5,E6,0.1222,0.2987,0.1673,"x, y, z",32 o,1
6,E7,0.0744,0.374,0.0917,"x, y, z",32 o,1
7,E8,0.2226,0.2226,0.2045,"x, x, z",16 m,m
8,E9,0.1975,0.3025,0.25,"x, 1/2-x, 1/4",16 k,2
9,E10,0.0,0.4256,0.0533,"0, y, z",16 n,m
10,E11,0.0744,0.5,0.0533,"x, 1/2, z",16 n,m
11,E12,0.0744,0.4256,0.0,"x, y, 0",16 l,m
