,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.125,0.1566,0.5934,"x, y, 3/4-y",96 g,m
1,E2,0.0991,0.1509,0.5361,"x, 1/4-x, z",96 g,m
2,E3,0.0111,0.9795,0.2705,"x, y, 1/4-y",96 g,m
3,E4,0.9689,0.0003,0.3127,"x, y, z",192 i,1
4,E5,0.0535,0.9999,0.3126,"x, y, z",192 i,1
5,E6,0.2919,0.2919,0.3233,"x, x, z",96 g,m
6,E7,0.2191,0.3336,0.3336,"x, y, y",96 g,m
7,E8,0.125,0.125,0.4277,"1/8, 1/8, z",48 f,mm2
8,E9,0.0782,0.1412,0.3889,"x, y, z",192 i,1
9,E10,0.0526,0.1666,0.4159,"x, y, z",192 i,1
10,E11,0.0943,0.0944,0.3502,"x, x, z",96 g,m
11,E12,0.0932,0.1569,0.3502,"x, 1/4-x, z",96 g,m
12,E13,0.0369,0.1516,0.3771,"x, y, z",192 i,1
13,E14,0.0256,0.1111,0.3366,"x, y, z",192 i,1
14,E15,0.0505,0.1688,0.3367,"x, y, z",192 i,1
15,E16,0.0421,0.2079,0.4041,"x, 1/4-x, z",96 g,m
16,E17,0.0249,0.1943,0.3637,"x, y, z",192 i,1
17,E18,0.0,0.1941,0.3059,"0, y, 1/2-y",96 h,2
