,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.2395,0.479,0.0,"x, 2x, 0",3 j,mm2,4
1,V2,3,0.299,0.598,0.0,"x, 2x, 0",3 j,mm2,4
2,V3,3,0.0657,0.361,0.2091,"x, y, z",12 o,1,1
3,V4,4,0.1459,0.3948,0.0846,"x, y, z",12 o,1,1
4,V5,3,0.6323,0.2646,0.5,"x, 2x, 1/2",3 k,mm2,4
5,V6,5,0.5728,0.1456,0.5,"x, 2x, 1/2",3 k,mm2,4
6,V7,3,0.0018,0.3855,0.3177,"x, y, z",12 o,1,1
7,V8,4,0.4792,0.0615,0.4154,"x, y, z",12 o,1,1
8,V9,3,0.0688,0.0344,0.5,"2y, y, 1/2",3 k,mm2,4
9,V10,5,0.1878,0.0939,0.5,"2y, y, 1/2",3 k,mm2,4
10,V11,4,0.2719,0.0844,0.4154,"x, y, z",12 o,1,1
11,V12,3,0.2887,0.0127,0.3118,"x, y, z",12 o,1,1
