,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,6,10,16,32,44,42,68,90,100,414,3.3.3.3.12.12.12.12.*.*
1,V2,3,6,12,16,24,36,58,68,70,96,390,3.12(2).12(2)
2,V3,3,5,10,15,19,33,50,59,69,97,361,3.12.12
3,V4,4,6,9,14,30,39,45,57,87,106,398,3.12.3.16.4.12
4,V5,3,6,12,16,24,30,43,59,76,98,368,3.12(2).12(2)
5,V6,5,6,10,16,26,34,38,55,85,110,386,3.3.3.3.12.12.12.12.*.*
6,V7,3,5,10,14,19,30,45,61,68,92,348,3.8.12
7,V8,4,6,9,13,25,32,39,53,82,105,369,3.8.3.12.4.12
8,V9,3,6,12,16,24,30,36,47,63,90,328,3.12(2).12(2)
9,V10,5,6,10,16,26,34,41,51,82,110,382,3.3.3.3.12.12.12.12.*.*
10,V11,4,6,9,13,25,32,40,56,81,101,368,3.8.3.12.4.12
11,V12,3,5,10,14,19,30,46,61,69,88,346,3.8.12
