,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2693,0.5386,0.0,"x, 2x, 0",3 j,mm2
1,E2,0.1927,0.4368,0.0423,"x, y, z",12 o,1
2,E3,0.3505,0.6495,0.0,"x, 1-x, 0",3 j,mm2
3,E4,0.1058,0.3779,0.1468,"x, y, z",12 o,1
4,E5,0.0338,0.3732,0.2634,"x, y, z",12 o,1
5,E6,0.0265,0.3185,0.2605,"x, y, z",12 o,1
6,E7,0.1459,0.3948,0.0,"x, y, 0",6 l,m
7,E8,0.1974,0.3948,0.0846,"x, 2x, z",6 n,m
8,E9,0.6838,0.3162,0.5,"x, 1-x, 1/2",3 k,mm2
9,E10,0.6026,0.205,0.5,"x, 2x, 1/2",3 k,mm2
10,E11,0.526,0.1036,0.4577,"x, y, z",12 o,1
11,E12,0.9701,0.4016,0.3666,"x, y, z",12 o,1
12,E13,0.9945,0.3308,0.3148,"x, y, z",12 o,1
13,E14,0.4792,0.0615,0.5,"x, y, 1/2",6 n,m
14,E15,0.5307,0.0614,0.4154,"x, 2x, z",6 n,m
15,E16,0.0172,0.9828,0.5,"x, 1-x, 1/2",3 k,mm2
16,E17,0.1282,0.0641,0.5,"2y, y, 1/2",3 k,mm2
17,E18,0.2298,0.0891,0.4577,"x, y, z",12 o,1
18,E19,0.2719,0.0844,0.5,"x, y, 1/2",6 m,m
19,E20,0.2718,0.1359,0.4154,"2y, y, z",6 n,m
20,E21,0.2803,0.0486,0.3636,"x, y, z",12 o,1
