,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.2626,0.0724,"0, y, x",6 c,m
1,E2,0.9562,0.2095,0.9374,"x, y, z",12 d,1
2,E3,0.9562,0.3131,0.1782,"x, y, z",12 d,1
3,E4,0.0438,0.2872,0.2075,"x, y, z",12 d,1
4,E5,0.331,0.6218,0.212,"x, y, z",12 d,1
5,E6,0.1656,0.5081,0.2118,"x, y, z",12 d,1
6,E7,0.391,0.391,0.7117,"x, x, z",6 c,m
7,E8,0.2776,0.365,0.7409,"x, y, z",12 d,1
8,E9,0.2167,0.2167,0.3749,"x, x, z",6 c,m
9,E10,0.1302,0.2779,0.3225,"x, y, z",12 d,1
10,E11,0.0,0.2517,0.2702,"0, y, z",6 c,m
