,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1695,0.0,0.2057,"x, 0, z",8 m,m
1,E2,0.2344,0.0853,0.2297,"x, y, z",16 o,1
2,E3,0.1227,0.1445,0.1885,"x, y, z",16 o,1
3,E4,0.2993,0.0,0.2536,"x, 0, z",8 m,m
4,E5,0.3616,0.1099,0.2763,"x, y, z",16 o,1
5,E6,0.0,0.4147,0.0,"0, y, 0",4 g,mm2
6,E7,0.0,0.5,0.0462,"0, 1/2, z",4 i,mm2
7,E8,0.0,0.369,0.0852,"0, y, z",8 l,m
8,E9,0.0,0.2038,0.1713,"0, y, z",8 l,m
9,E10,0.076,0.2846,0.1861,"x, y, z",16 o,1
10,E11,0.038,0.2635,0.1478,"x, y, z",16 o,1
11,E12,0.0,0.3654,0.2009,"0, y, z",8 l,m
12,E13,0.038,0.3443,0.1626,"x, y, z",16 o,1
