,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.1687,0.387,"0, y, z",12 j,m
1,E2,0.107,0.1183,0.4096,"x, y, z",24 l,1
2,E3,0.0339,0.222,0.3624,"x, y, z",24 l,1
3,E4,0.0,0.4322,0.1461,"0, y, z",12 j,m
4,E5,0.0678,0.5,0.1461,"x, 1/2, z",12 k,m
5,E6,0.0991,0.4322,0.2062,"x, y, z",24 l,1
6,E7,0.0,0.3369,0.3096,"0, y, z",12 j,m
7,E8,0.0652,0.4153,0.2738,"x, y, z",24 l,1
8,E9,0.2483,0.2786,0.3035,"x, y, z",24 l,1
9,E10,0.1769,0.383,0.2697,"x, y, z",24 l,1
10,E11,0.1304,0.5,0.2663,"x, 1/2, z",12 k,m
