,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.2912,0.5824,0.25,"x, 2x, 1/4",6 h,2,2
1,V2,5,0.5634,0.7817,0.25,"2y, y, 1/4",6 h,2,2
2,V3,3,0.0421,0.0842,0.25,"x, 2x, 1/4",6 h,2,2
3,V4,5,0.7698,0.8849,0.25,"2y, y, 1/4",6 h,2,2
4,V5,3,0.1196,0.3713,0.0,"x, y, z",12 i,1,1
5,V6,5,0.1324,0.3333,0.147,"x, y, z",12 i,1,1
6,V7,3,0.0383,0.3409,0.8697,"x, y, z",12 i,1,1
7,V8,5,0.9158,0.2492,0.7928,"x, y, z",12 i,1,1
8,V9,3,0.1646,0.4667,0.8807,"x, y, z",12 i,1,1
9,V10,5,0.2604,0.5937,0.8144,"x, y, z",12 i,1,1
