,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,13,19,28,48,82,100,92,140,532,3.12(3).12(3)
1,V2,5,7,11,18,44,60,62,88,134,168,598,3.3.3.3.4.4.12.12.12(2).12(2)
2,V3,3,6,13,19,28,48,74,98,104,136,530,3.12(3).12(3)
3,V4,5,7,11,18,44,60,66,86,132,178,608,3.3.3.3.4.4.12.12.12(2).12(2)
4,V5,3,6,13,19,28,48,78,99,98,134,527,3.12(3).12(3)
5,V6,5,7,11,18,44,60,64,87,132,168,597,3.3.3.3.4.4.12.12.12(2).12(2)
6,V7,3,6,13,19,28,48,78,98,99,139,532,3.12(3).12(3)
7,V8,5,7,11,18,44,60,64,86,134,171,601,3.3.3.3.4.4.12.12.12(2).12(2)
8,V9,3,6,13,19,28,48,78,99,99,141,535,3.12(3).12(3)
9,V10,5,7,11,18,44,60,64,87,137,174,608,3.3.3.3.4.4.12.12.12.12(3)
