,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3544,0.6456,0.25,"x, 1-x, 1/4",6 h,2
1,E2,0.2547,0.5094,0.25,"x, 2x, 1/4",6 h,2
2,E3,0.6151,0.7904,0.1985,"x, y, z",12 i,1
3,E4,0.6151,0.7663,0.2714,"x, y, z",12 i,1
4,E5,0.979,0.0211,0.25,"x, 1-x",6 h,2
5,E6,0.0786,0.1572,0.25,"x, 2x, 1/4",6 h,2
6,E7,0.7182,0.842,0.1985,"x, y, z",12 i,1
7,E8,0.7182,0.8179,0.2714,"x, y, z",12 i,1
8,E9,0.126,0.3523,0.0735,"x, y, z",12 i,1
9,E10,0.079,0.3561,0.9348,"x, y, z",12 i,1
10,E11,0.1421,0.419,0.9404,"x, y, z",12 i,1
11,E12,0.1083,0.3333,0.2199,"x, y, z",12 i,1
12,E13,0.1908,0.3333,0.1771,"x, y, z",12 i,1
13,E14,0.9771,0.2951,0.8312,"x, y, z",12 i,1
14,E15,0.1014,0.4038,0.8752,"x, y, z",12 i,1
15,E16,0.2125,0.5302,0.8475,"x, y, z",12 i,1
16,E17,0.3333,0.6302,0.8144,"x, y, z",12 i,1
17,E18,0.2604,0.6302,0.75,"2y, y, 1/4",6 h,2
18,E19,0.2969,0.5938,0.75,"x, 2x, 3/4",6 h,2
