,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.468,0.2585,0.1504,"x, y, z",12 k,1,1
1,V2,4,0.0569,0.5064,0.0124,"x, y, z",12k,1,1
2,V3,4,0.0618,0.3695,0.0469,"x, y, z",12 k,1,1
3,VV4,4,0.0601,0.2131,0.4204,"x, y, z",12k,1,1
4,V5,4,0.4084,0.3446,0.003,"x, y, z",12 k,1,1
5,V6,4,0.1169,0.3396,0.1405,"x, y, z",12k,1,1
6,V7,4,0.241,0.071,0.02,"x, y, z",12k,1,1
7,V8,4,0.1917,0.2211,0.4742,"x, y, z",12 k,1,1
8,V9,4,0.2083,0.2717,0.3708,"x, y, z",12k,1,1
9,V10,4,0.2408,0.4741,0.089,"x, y, z",12 k,1,1
10,VV11,4,0.386,0.5982,0.1306,"x, y, z",12k,1,1
11,V12,4,0.1806,0.5144,0.0018,"x, y, z",12 k,1,1
12,V13,4,0.5256,0.3526,0.038,"x, y, z",12k,1,1
13,V14,4,0.3826,0.2059,0.0568,"x, y, z",12k,1,1
