,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,15,22,32,45,65,94,124,158,569,4.4.4.6.12.*
1,V2,4,8,12,19,31,46,66,90,117,148,542,4.4.4.4.12.*
2,V3,4,8,13,20,31,49,71,95,120,150,562,4.4.4.4.*.*
3,VV4,4,9,17,27,39,53,71,96,122,156,595,4.4.4.6.*.*
4,V5,4,8,13,20,31,48,67,89,118,150,549,4.4.4.4.12.*
5,V6,4,9,15,22,33,49,69,93,123,157,575,4.4.4.6.*.*
6,V7,4,9,16,26,38,53,72,94,123,159,595,4.4.4.6.*.*
7,V8,4,9,16,26,38,53,73,95,122,157,594,4.4.4.6.*.*
8,V9,4,8,14,23,35,52,74,96,120,153,580,4.4.4.4.*.*
9,V10,4,8,13,20,31,48,70,97,125,154,571,4.4.4.4.*.*
10,VV11,4,8,14,22,30,44,66,93,127,156,565,4.4.4.4.12.*
11,V12,4,8,12,19,31,48,72,97,123,151,566,4.4.4.4.*.*
12,V13,4,8,13,20,31,47,66,91,121,154,556,4.4.4.4.12.*
13,V14,4,9,15,22,33,48,66,89,121,158,566,4.4.4.6.12.*
