,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0437,0.2657,0.1407,"x, y, z",12 k,1
1,E2,0.0894,0.3546,0.0937,"x, y, z",12 k,1
2,E3,0.1877,0.4038,0.1617,"x, y, z",12 k,1
3,E4,0.4541,0.2793,0.0474,"x, y, z",12 k,1
4,E5,0.1768,0.5809,0.9819,"x, y, z",12 k,1
5,E6,0.1149,0.5769,0.9872,"x, y, z",12 k,1
6,E7,0.1212,0.4419,0.0243,"x, y, z",12 k,1
7,E8,0.2765,0.3401,0.3505,"x, y, z",12 k,1
8,E9,0.2107,0.4942,0.0454,"x, y, z",12 k,1
9,E10,0.2873,0.4942,0.0436,"x, y, z",12 k,1
10,E11,0.1788,0.4069,0.1147,"x, y, z",12 k,1
11,E12,0.5331,0.3222,0.1766,"x, y, z",12 k,1
12,E13,0.5698,0.3772,0.0843,"x, y, z",12 k,1
13,E14,0.2564,0.1396,0.9913,"x, y, z",12 k,1
14,E15,0.1259,0.2171,0.4473,"x, y, z",12 k,1
15,E16,0.227,0.0655,0.9665,"x, y, z",12 k,1
16,E17,0.0448,0.2171,0.4731,"x, y, z",12 k,1
17,E18,0.9966,0.4255,0.0047,"x, y, z",12 k,1
18,E19,0.197,0.0054,0.0535,"x, y, z",12 k,1
19,E20,0.2,0.2464,0.4225,"x, y, z",12 k,1
20,E21,0.541,0.3301,0.1405,"x, y, z",12 k,1
21,E22,0.9992,0.2889,0.0422,"x, y, z",12 k,1
22,E23,0.0593,0.4379,0.0297,"x, y, z",12 k,1
23,E24,0.3134,0.5362,0.1098,"x, y, z",12 k,1
24,E25,0.4253,0.2322,0.1036,"x, y, z",12 k,1
25,E26,0.3955,0.2753,0.0299,"x, y, z",12 k,1
26,E27,0.3118,0.1384,0.0384,"x, y, z",12 k,1
27,E28,0.0603,0.5809,0.0047,"x, y, z",12 k,1
