,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.2104,0.2104,"0, y, y",12 1,mm2
1,E2,0.0624,0.2266,0.2707,"x, y, z",48 n,1
2,E3,0.1155,0.2337,0.2337,"x, y, y",24 m,m
3,E4,0.0,0.2427,0.331,"0, y, z",24 k,m
4,E5,0.0624,0.2869,0.2869,"x, y, y",24 m,m
5,E6,0.0312,0.296,0.3401,"x, y, z",48 n,1
6,E7,0.0851,0.2194,0.3843,"x, y, z",48 n,1
7,E8,0.0,0.3934,0.3934,"0, y, y",12 i,mm2
8,E9,0.2128,0.2128,0.2569,"x, x, z",24 m,m
9,E10,0.1078,0.1961,0.5,"x, y, 1/2",24 l,m
10,E11,0.152,0.152,0.4376,"x, x, z",24 m,m
11,E12,0.0,0.5,0.4376,"0, 1/2, z",12 h,mm2
