,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0135,0.6262,"0, y, z",4 h,m
1,E2,0.125,0.0444,0.3112,"x y, z",8 i,1
2,E3,0.2398,0.2741,0.1545,"x, y, z",8 i,1
3,E4,0.1697,0.2741,0.2714,"x, y, z",8 i,1
4,E5,0.1734,0.1812,0.3078,"x, y, z",8 i,1
5,E6,0.0832,0.5,0.0,"x, 1/2, 0",4 f,2
6,E7,0.3685,0.2033,0.0762,"x, y, z",8 i,1
7,E8,0.1631,0.1952,0.2123,"x, y, z",8 i,1
8,E9,0.4168,0.08,0.9466,"x, y, z",8 i,1
9,E10,0.25,0.1023,0.25,"1/4, y, 1/4",4 g,2
10,E11,0.5,0.1465,0.019,"1/2, y, z",4 h,m
11,E12,0.0,0.4238,0.0633,"1/2, y, z",4 h,m
12,E13,0.1213,0.3559,0.1196,"x, y, z",8 i,1
