,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0801,0.3357,0.3503,"x, y, z",8 i,1,1
1,V2,3,0.1899,0.3844,0.2853,"x, y, z",8 i,1,1
2,V3,3,0.1934,0.222,0.503,"x, y, z",8 i,1,1
3,V4,3,0.4199,0.2692,0.0601,"x, y, z",8 i,1,1
4,V5,3,0.314,0.1482,0.5306,"x, y, z",8 i,1,1
5,V6,3,0.4199,0.0593,0.5121,"x, y, z",8 i,1,1
6,V7,3,0.2481,0.717,0.1966,"x, y, z",8 i,1,1
7,V8,3,0.25,0.6116,0.25,"1/4, y, 1/4",4 g,m,2
8,V9,3,0.2561,0.2283,0.6012,"x, y, z",8 i,1,1
9,V10,3,0.25,0.4899,0.25,"1/4, y, 1/4",4 g,m,2
