,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,5,7,10,15,23,33,42,53,66,258,4.16(2).16(3)
1,V2,3,4,7,10,15,20,32,44,47,60,243,3.16(2).16(3)
2,V3,3,4,7,10,15,20,32,44,50,66,252,3.16(2).16(3)
3,V4,3,5,7,10,15,23,33,42,53,69,261,4.16(2).16(3)
4,V5,3,4,7,10,15,20,32,45,51,65,253,3.16(2).16(2)
5,V6,3,5,7,10,15,23,33,43,56,70,266,4.16.16(3)
6,V7,3,4,6,8,14,22,32,39,49,66,244,3.16(2).16(3)
7,V8,3,4,6,8,14,22,32,38,48,66,242,3.16(3).16(3)
8,V9,3,4,6,10,14,20,32,43,48,65,246,3.16(2).16(3)
9,V10,3,4,6,10,14,20,32,42,44,62,238,3.16(3).16(3)
