,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3357,0.3503,"0, y, z",4 h,m
1,E2,0.135,0.36,0.3178,"x, y, z",8 i,1
2,E3,0.0801,0.3025,0.3951,"x, y, z",8 i,1
3,E4,0.25,0.3844,0.25,"1/4, y, 1/4",4 g,2
4,E5,0.2199,0.4372,0.2677,"x, y, z",8 i,1
5,E6,0.1368,0.2456,0.4714,"x, y, z",8 i,1
6,E7,0.2537,0.1851,0.5168,"x, y, z",8 i,1
7,E8,0.2247,0.2252,0.5521,"x, y, z",8 i,1
8,E9,0.5,0.2692,0.0601,"1/2, y, z",4 h,m
9,E10,0.3669,0.1037,0.5214,"x, y, z",8 i,1
10,E11,0.285,0.1883,0.5659,"x, y, z",8 i,1
11,E12,0.5,0.0593,0.5121,"1/2, y, z",4 h,m
12,E13,0.4199,0.0,0.5,"x, 0, 0",4 e,2
13,E14,0.25,0.717,0.25,"1/4, y, 1/4",4 g,2
14,E15,0.249,0.6643,0.2233,"x, y, z",8 i,1
15,E16,0.246,0.7443,0.1489,"x, y, z",8 i,1
16,E17,0.25,0.5508,0.25,"1/4, y, 1/4",4 g,2
