,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.2369,0.4623,0.3307,"x, y, z",2 i,1,1
1,V2,4,0.3802,0.603,0.0616,"x, y, z",2 i,1,1
2,V3,4,0.8157,0.1468,0.0248,"x, y, z",2 i,1,1
3,V4,4,0.3039,0.7037,0.2569,"x, y, z",2 i,1,1
4,V5,4,0.4899,0.1954,0.0522,"x, y, z",2 i,1,1
5,V6,4,0.3132,0.4588,0.4485,"x, y, z",2 i,1,1
6,V7,4,0.0682,0.0943,0.1699,"x, y, z",2 i,1,1
7,V8,4,0.5885,0.0197,0.6686,"x, y, z",2 i,1,1
8,V9,4,0.8221,0.0194,0.4419,"x, y, z",2 i,1,1
9,V10,4,0.1535,0.114,0.0585,"x, y, z",2 i,1,1
10,V11,4,0.1975,0.332,0.7501,"x, y, z",2 i,1,1
11,V12,4,0.5159,0.5997,0.1748,"x, y, z",2 i,1,1
12,V13,4,0.1365,0.3041,0.5272,"x, y, z",2 i,1,1
13,V14,4,0.6552,0.1983,0.5242,"x, y, z",2 i,1,1
14,V15,4,0.8196,0.164,0.2425,"x, y, z",2 i,1,1
15,V16,4,0.3859,0.1224,0.4421,"x, y, z",2 i,1,1
16,V17,4,0.0448,0.6822,0.0585,"x, y, z",2 i,1,1
17,V18,4,0.3255,0.2098,0.2523,"x, y, z",2 i,1,1
18,V19,4,0.7021,0.6398,0.0286,"x, y, z",2 i,1,1
19,V20,4,0.11,0.5704,0.6745,"x, y, z",2 i,1,1
20,V21,4,0.0376,0.7514,0.1762,"x, y, z",2 i,1,1
21,V22,4,0.1078,0.641,0.5604,"x, y, z",2 i,1,1
22,V23,4,0.5489,0.256,0.1708,"x, y, z",2 i,1,1
23,V24,4,0.2473,0.0542,0.6759,"x, y, z",2 i,1,1
