,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,25,43,67,102,138,182,237,300,1111,5.5.5.5.5.6
1,V2,4,11,24,44,68,98,144,188,244,310,1136,4.5.5.5.6.6
2,V3,4,11,24,42,67,102,140,187,240,311,1129,4.5.5.6.5.6
3,V4,4,12,25,43,70,101,140,184,238,296,1114,5.5.5.5.5.6
4,V5,4,12,23,43,70,101,138,187,248,301,1128,5.5.5.6.5.6
5,V6,4,12,23,43,70,101,138,187,247,300,1126,5.5.5.6.5.6
6,V7,4,12,24,43,68,102,135,188,238,293,1108,5.5.5.5.5.6
7,V8,4,12,24,43,68,102,135,188,238,294,1109,5.5.5.5.5.6
8,V9,4,12,23,43,70,102,141,192,248,300,1136,5.5.5.6.5.6
9,V10,4,11,24,44,68,97,145,186,240,308,1128,4.5.5.5.6.6
10,V11,4,12,26,46,70,106,144,186,242,304,1141,5.5.5.5.6.6
11,V12,4,12,24,43,70,101,140,186,235,299,1115,5.5.5.5.5.6
12,V13,4,11,24,42,67,101,139,189,244,310,1132,4.5.5.6.5.6
13,V14,4,11,24,42,67,102,140,188,240,313,1132,4.5.5.6.5.6
14,V15,4,12,25,43,70,101,140,184,238,296,1114,5.5.5.5.5.6
15,V16,4,11,24,44,68,97,145,186,243,308,1131,4.5.5.5.6.6
16,V17,4,12,23,43,70,102,140,192,250,300,1137,5.5.5.6.5.6
17,V18,4,12,24,40,70,96,136,182,234,288,1087,5.5.5.5.5.5
18,V19,4,11,24,42,67,101,139,190,244,311,1134,4.5.5.6.5.6
19,V20,4,12,24,43,70,101,140,186,235,299,1115,5.5.5.5.5.6
20,V21,4,12,25,43,69,101,143,185,238,304,1125,5.5.5.5.5.6
21,V22,4,11,24,44,68,98,143,188,244,308,1133,4.5.5.5.6.6
22,V23,4,12,25,43,67,102,138,182,237,299,1110,5.5.5.5.5.6
23,V24,4,12,25,43,69,101,143,185,238,304,1125,5.5.5.5.5.6
