,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2704,0.583,0.2938,"x, y, z",2 i,1
1,E2,0.275,0.4606,0.3896,"x, y, z",2 i,1
2,E3,0.2812,0.3361,0.2915,"x, y, z",2 i,1
3,E4,0.0634,0.446,0.3281,"x, y, z",2 i,1
4,E5,0.4481,0.6013,0.1182,"x, y, z",2 i,1
5,E6,0.2125,0.6426,0.0601,"x, y, z",2 i,1
6,E7,0.5412,0.6214,0.0451,"x, y, z",2 i,1
7,E8,0.339,0.4816,0.0165,"x, y, z",2 i,1
8,E9,0.6528,0.1711,0.0385,"x, y, z",2 i,1
9,E10,0.9846,0.1304,0.0417,"x, y, z",2 i,1
10,E11,0.8311,0.0164,0.9832,"x, y, z",2 i,1
11,E12,0.8855,0.2323,0.9832,"x, y, z",2 i,1
12,E13,0.3577,0.842,0.2941,"x, y, z",2 i,1
13,E14,0.4099,0.6517,0.2158,"x, y, z",2 i,1
14,E15,0.1708,0.7276,0.2165,"x, y, z",2 i,1
15,E16,0.3217,0.1547,0.0554,"x, y, z",2 i,1
16,E17,0.3939,0.2778,0.0118,"x, y, z",2 i,1
17,E18,0.5194,0.2257,0.1115,"x, y, z",2 i,1
18,E19,0.2248,0.3814,0.4879,"x, y, z",2 i,1
19,E20,0.329,0.6303,0.4622,"x, y, z",2 i,1
20,E21,0.3496,0.2906,0.4453,"x, y, z",2 i,1
21,E22,0.1109,0.1042,0.1142,"x, y, z",2 i,1
22,E23,0.9439,0.1292,0.2062,"x, y, z",2 i,1
23,E24,0.1969,0.1521,0.2111,"x, y, z",2 i,1
24,E25,0.0529,0.9229,0.173,"x, y, z",2 i,1
25,E26,0.6013,0.9487,0.6133,"x, y, z",2 i,1
26,E27,0.6315,0.905,0.7082,"x, y, z",2 i,1
27,E28,0.4179,0.0369,0.6723,"x, y, z",2 i,1
28,E29,0.8428,0.8576,0.4574,"x, y, z",2 i,1
29,E30,0.7386,0.1088,0.483,"x, y, z",2 i,1
30,E31,0.8571,0.1892,0.4408,"x, y, z",2 i,1
31,E32,0.7874,0.9826,0.383,"x, y, z",2 i,1
32,E33,0.3408,0.3662,0.7877,"x, y, z",2 i,1
33,E34,0.1537,0.4512,0.7123,"x, y, z",2 i,1
34,E35,0.0799,0.2903,0.787,"x, y, z",2 i,1
35,E36,0.2224,0.1931,0.713,"x, y, z",2 i,1
36,E37,0.5324,0.4279,0.1728,"x, y, z",2 i,1
37,E38,0.1222,0.4726,0.5438,"x, y, z",2 i,1
38,E39,0.0143,0.3316,0.4834,"x, y, z",2 i,1
39,E40,0.5206,0.1604,0.4832,"x, y, z",2 i,1
40,E41,0.6346,0.0379,0.541,"x, y, z",2 i,1
41,E42,0.8548,0.2968,0.284,"x, y, z",2 i,1
42,E43,0.6843,0.21,0.2066,"x, y, z",2 i,1
43,E44,0.7861,0.0549,0.2833,"x, y, z",2 i,1
44,E45,0.8735,0.661,0.0435,"x, y, z",2 i,1
45,E46,0.0412,0.7168,0.1173,"x, y, z",2 i,1
46,E47,0.4372,0.2329,0.2115,"x, y, z",2 i,1
47,E48,0.1089,0.6057,0.6174,"x, y, z",2 i,1
