,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2943,0.9513,0.9707,"x, y, z",16 d,1
1,E2,0.2579,0.0635,0.9882,"x, y, z",16 d,1
2,E3,0.2764,0.0458,0.0648,"x, y, z",16 d,1
3,E4,0.1476,0.3525,0.9415,"x, 1/2-x, z",8 c,m
4,E5,0.147,0.2664,0.9273,"x, y, z",16 d,1
5,E6,0.1192,0.2941,0.8625,"x, y, z",16 d,1
6,E7,0.2131,0.172,0.9448,"x, y, z",16 d,1
7,E8,0.2548,0.1025,0.053,"x, y, z",16 d,1
8,E9,0.233,0.267,0.9131,"x, 1/2-x, z",8 c,m
9,E10,0.162,0.2514,0.8483,"x, y, z",16 d,1
10,E11,0.2762,0.1096,0.2065,"x, y, z",16 d,1
11,E12,0.1777,0.3224,0.7835,"x, 1/2-x, z",8 c,m
