,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.09,0.054,0.2671,"x, y, z",4 e,1,1
1,V2,5,0.7637,0.0353,0.2237,"x, y, z",4 e,1,1
2,V3,5,0.3706,0.3268,0.2185,"x, y, z",4 e,1,1
3,V4,5,0.4118,0.3964,0.5613,"x, y, z",4 e,1,1
4,V5,5,0.2299,0.0534,0.0894,"x, y, z",4 e,1,1
5,V6,5,0.1734,0.171,0.6809,"x, y, z",4 e,1,1
6,V7,5,0.4355,0.2122,0.0429,"x, y, z",4 e,1,1
7,V8,5,0.5955,0.179,0.3269,"x, y, z",4 e,1,1
8,V9,5,0.1267,0.2688,0.0451,"x, y, z",4 e,1,1
9,V10,5,0.59,0.7213,0.1711,"x, y, z",4 e,1,1
