,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,11,21,34,61,92,119,160,206,249,959,3.3.3.4.6.6.8(3).12(33).12(51).*
1,V2,5,11,20,34,60,91,118,162,205,250,957,3.3.3.4.6(2).8.8(2).12(33).12(57).*
2,V3,5,11,20,35,59,90,122,156,205,255,959,3.3.3.4.6(2).8.8(2).12(37).12(51).*
3,V4,5,11,19,33,61,89,117,154,208,257,955,3.3.3.4.6.6.6(2).12(25).12(40).*
4,V5,5,11,19,34,61,90,116,155,207,258,957,3.3.3.4.6.6.6(2).12(25).12(40).*
5,V6,5,11,21,36,59,88,123,156,204,256,960,3.3.3.4.6.6.8(3).12(37).12(67).*
6,V7,5,11,21,34,61,91,119,157,204,252,956,3.3.3.4.6.8(2).8(3).12(30).12(46).*
7,V8,5,11,20,36,59,88,122,160,203,254,959,3.3.3.4.6.6(2).8.12(37).12(68).*
8,V9,5,11,20,34,60,92,118,158,203,251,953,3.3.3.4.6.6(2).8.12(30).12(46).*
9,V10,5,11,21,36,60,89,122,160,203,256,964,3.3.3.4.6.8(2).8(3).12(37).12(50).*
