,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.9269,0.0447,0.2454,"x, y, z",4 e,1
1,E2,0.1097,0.9404,0.2743,"x, y, z",4 e,1
2,E3,0.0009,0.0788,0.1642,"x, y, z",4 e,1
3,E4,0.1599,0.0537,0.1783,"x, y, z",4 e,1
4,E5,0.0,0.1377,0.298,"x, y, z",4 e,1
5,E6,0.8377,0.0695,0.1425,"x, y, z",4 e,1
6,E7,0.7952,0.9322,0.2714,"x, y, z",4 e,1
7,E8,0.6796,0.1071,0.2753,"x, y, z",4 e,1
8,E9,0.8369,0.1283,0.2763,"x, y, z",4 e,1
9,E10,0.522,0.3279,0.1997,"x, y, z",4 e,1
10,E11,0.403,0.2695,0.1307,"x, y, z",4 e,1
11,E12,0.483,0.2529,0.2727,"x, y, z",4 e,1
12,E13,0.2486,0.2978,0.1318,"x, y, z",4 e,1
13,E14,0.341,0.4749,0.4859,"x, y, z",4 e,1
14,E15,0.5708,0.4215,0.5754,"x, y, z",4 e,1
15,E16,0.5192,0.3138,0.5532,"x, y, z",4 e,1
16,E17,0.3327,0.1328,0.0662,"x, y, z",4 e,1
17,E18,0.1783,0.1611,0.0672,"x, y, z",4 e,1
18,E19,0.0545,0.2294,0.6119,"x, y, z",4 e,1
19,E20,0.1344,0.246,0.7539,"x, y, z",4 e,1
20,E21,0.2917,0.2248,0.7549,"x, y, z",4 e,1
21,E22,0.2811,0.2405,0.044,"x, y, z",4 e,1
22,E23,0.4228,0.2454,0.9359,"x, y, z",4 e,1
23,E24,0.6111,0.2051,0.436,"x, y, z",4 e,1
24,E25,0.7528,0.2002,0.3279,"x, y, z",4 e,1
