,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.5,0.25,"0, 1/2, 1/4",4 d,-4,4
1,V2,4,0.0922,0.0922,0.0,"x, x, 0",4 f,mm2,4
2,V3,4,0.2633,0.2633,0.0,"x, x, 0",4 f,mm2,4
3,V4,4,0.0601,0.2088,0.0,"x, y, 0",8 i,m,2
4,V5,4,0.1462,0.2937,0.0,"x, y, 0",8 i,m,2
5,V6,4,0.3406,0.5739,0.0,"x, y, 0",8 i,m,2
6,V7,4,0.2245,0.6077,0.0,"x, y, 0",8 i,m,2
7,V8,4,0.1907,0.7238,0.0,"x, y, 0",8 i,m,2
8,V9,4,0.0428,0.0428,0.1872,"x, x, z",8 j,m,2
9,V10,4,0.3144,0.3144,0.1839,"x, x, z",8 j,m,2
10,V11,4,0.396,0.396,0.1147,"x, x, z",8 j,m,2
11,V12,4,0.2642,0.4943,0.3144,"x, y, z",16 k,1,1
12,V13,4,0.1362,0.3678,0.1805,"x, y, z",16 k,1,1
13,V14,4,0.0064,0.1366,0.3146,"x, y, z",16 k,1,1
14,V15,4,0.0512,0.3183,0.3141,"x, y, z",16 k,1,1
15,V16,4,0.0947,0.476,0.1148,"x, y, z",16 k,1,1
16,V17,4,0.2353,0.3768,0.3108,"x, y, z",16 k,1,1
