,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,26,44,64,98,152,176,218,284,1079,5.5.5.5.6.6
1,V2,4,12,26,46,70,95,130,180,230,288,1082,5.5.5.5.6.6
2,V3,4,12,25,40,66,107,130,171,219,274,1049,5.5.5.5.5.6
3,V4,4,12,26,45,68,98,134,174,230,289,1081,5.5.5.5.6.6
4,V5,4,12,25,42,68,100,134,171,228,276,1061,5.5.5.5.5.6
5,V6,4,12,25,40,64,103,133,169,219,267,1037,5.5.5.5.5.6
6,V7,4,12,25,42,68,98,130,174,231,273,1058,5.5.5.5.5.6
7,V8,4,12,26,45,67,95,134,179,227,279,1069,5.5.5.5.6.6
8,V9,4,12,25,44,69,94,128,183,228,274,1062,5.5.5.5.5.6
9,V10,4,12,24,40,65,96,140,170,211,275,1038,5.5.5.5.5.5
10,V11,4,12,24,39,66,102,132,172,217,269,1038,5.5.5.5.5.5
11,V12,4,12,25,43,69,98,129,175,227,280,1063,5.5.5.5.5.6
12,V13,4,12,24,42,68,96,132,177,222,273,1051,5.5.5.5.5.5
13,V14,4,12,24,40,66,96,135,171,214,271,1034,5.5.5.5.5.5
14,V15,4,12,24,42,68,96,131,176,222,276,1052,5.5.5.5.5.5
15,V16,4,12,25,42,69,102,132,180,227,274,1068,5.5.5.5.5.6
16,V17,4,12,25,43,69,97,129,180,225,274,1059,5.5.5.5.5.6
