,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0474,0.488,0.1824,"x, y, z",16 k,1
1,E2,0.0762,0.1505,0.0,"x, y, 0",8 i,m
2,E3,0.0675,0.0675,0.0936,"x, x, z",8 j,m
3,E4,0.2047,0.2785,0.0,"x, y, 0",8 i,m
4,E5,0.2888,0.2888,0.0919,"x, x, z",8 j,m
5,E6,0.1031,0.2512,0.0,"x, y, 0",8 i,m
6,E7,0.0272,0.2223,0.9072,"x, y, z",16 k,1
7,E8,0.1412,0.3307,0.0903,"x, y, z",16 k,1
8,E9,0.3834,0.6166,0.0,"x, 1-x, 0",4 g,mm2
9,E10,0.2825,0.5908,0.0,"x, y, 0",8 i,m
10,E11,0.352,0.5402,0.9073,"x, y, z",16 k,1
11,E12,0.2076,0.6657,0.0,"x, y, 0",8 i,m
12,E13,0.2031,0.5794,0.9071,"x, y, z",16 k,1
13,E14,0.2335,0.7665,0.0,"x, 1-x, 0",4 g,mm2
14,E15,0.1569,0.7296,0.9054,"x, y, z",16 k,1
15,E16,0.0,0.0,0.1872,"0, 0, z",4 e,mm2
16,E17,0.0246,0.0897,0.2509,"x, y, z",16 k,1
17,E18,0.3552,0.3552,0.1493,"x, x, z",8 i,m
18,E19,0.2749,0.3456,0.2474,"x, y, z",16 k,1
19,E20,0.396,0.396,0.0,"x, x, 0",4 f,mm2
20,E21,0.3797,0.4512,0.15,"x, y, z",16 k,1
21,E22,0.3138,0.5004,0.2499,"x, y, z",16 k,1
22,E23,0.2229,0.5227,0.2501,"x, y, z",16 k,1
23,E24,0.2498,0.4356,0.3126,"x, y, z",16 k,1
24,E25,0.0937,0.3431,0.2473,"x, y, z",16 k,1
25,E26,0.1155,0.4219,0.1476,"x, y, z",16 k,1
26,E27,0.1858,0.3723,0.2457,"x, y, z",16 k,1
27,E28,0.0136,0.3618,0.3497,"x, y, z",16 k,1
28,E29,0.0947,0.476,0.0,"x, y, 0",8 i,m
