,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.4755,0.0897,0.257,"x, y, z",12 k,1,1
1,V2,4,0.4543,0.0773,0.1385,"x, y, z",12 k,1,1
2,V3,4,0.6041,0.0877,0.1432,"x, y, z",12 k,1,1
3,V4,4,0.3862,0.4636,0.0715,"x, y, z",12 k,1,1
4,V5,4,0.3932,0.2433,0.0142,"x, y, z",12 k,1,1
5,V6,4,0.2462,0.3523,0.0155,"x, y, z",12 k,1,1
6,V7,4,0.366,0.0934,0.0499,"x, y, z",12 k,1,1
7,V8,4,0.2754,0.4236,0.2731,"x, y, z",12 k,1,1
8,V9,4,0.0704,0.0964,0.1169,"x, y, z",12 k,1,1
9,V10,4,0.0936,0.1275,0.2342,"x, y, z",12 k,1,1
10,V11,4,0.162,0.2659,0.3015,"x, y, z",12 k,1,1
11,V12,4,0.0982,0.2339,0.0577,"x, y, z",12 k,1,1
