,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,16,26,44,69,93,116,146,183,707,4.8.4.8.4.12(2)
1,V2,4,9,16,25,41,66,90,119,151,189,711,4.8.4.8.4.8
2,V3,4,9,16,25,41,66,92,117,148,189,708,4.8.4.8.4.8
3,V4,4,9,16,26,44,71,93,114,143,182,703,4.8.4.8.4.12(2)
4,V5,4,6,15,29,38,61,83,122,157,183,699,3.8.3.8.3.12(2)
5,V6,4,6,15,29,42,63,84,113,145,188,690,3.8.3.8.3.12(2)
6,V7,4,6,15,28,37,59,79,122,163,184,698,3.8.3.8(2).3.12(3)
7,V8,4,6,15,28,37,59,80,121,162,180,693,3.8.3.8(2).3.12(2)
8,V9,4,9,16,26,44,69,88,115,151,195,718,4.8.4.8.4.10(2)
9,V10,4,9,16,26,43,66,94,116,146,200,721,4.8.4.8.4.12(4)
10,V11,4,6,15,29,38,60,82,124,158,187,704,3.8.3.8.3.12(3)
11,V12,4,6,15,29,41,64,82,110,153,185,690,3.8.3.8.3.10(4)
