,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4649,0.0835,0.1977,"x, y, z",12 k,1
1,E2,0.5447,0.0835,0.2594,"x, y, z",12 k,1
2,E3,0.4308,0.0062,0.2594,"x, y, z",12 k,1
3,E4,0.4343,0.1198,0.2881,"x, y, z",12 k,1
4,E5,0.5292,0.0825,0.1408,"x, y, z",12 k,1
5,E6,0.4251,0.9948,0.1408,"x, y, z",12 k,1
6,E7,0.4101,0.0853,0.0942,"x, y, z",12 k,1
7,E8,0.609,0.0825,0.2025,"x, y, z",12 k,1
8,E9,0.6643,0.118,0.1017,"x, y, z",12 k,1
9,E10,0.3162,0.4079,0.0435,"x, y, z",12 k,1
10,E11,0.3796,0.1684,0.0321,"x, y, z",12 k,1
11,E12,0.4084,0.1958,0.977,"x, y, z",12 k,1
12,E13,0.3295,0.1736,0.9912,"x, y, z",12 k,1
13,E14,0.1762,0.3523,0.0,"x, 2x, 0",6 1,2
14,E15,0.1722,0.2931,0.0366,"x, y, z",12 k,1
15,E16,0.1909,0.2931,0.9789,"x, y, z",12 k,1
16,E17,0.3948,0.1208,0.9948,"x, y, z",12 k,1
17,E18,0.3159,0.0986,0.009,"x, y, z",12 k,1
18,E19,0.2187,0.3447,0.2873,"x, y, z",12 k,1
19,E20,0.082,0.112,0.1755,"x, y, z",12 k,1
20,E21,0.9884,0.0652,0.108,"x, y, z",12 k,1
21,E22,0.082,0.0312,0.108,"x, y, z",12 k,1
22,E23,0.0843,0.1652,0.0873,"x, y, z",12 k,1
23,E24,0.1278,0.1967,0.2679,"x, y, z",12 k,1
24,E25,0.1169,0.2339,0.0,"x, 2x, 0",6 i,2
