,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.75,0.104,"1/4, 3/4, z",4 c,mm2
1,E2,0.1088,0.6088,0.25,"x, 1/2+x, 1/4",8 f,2
2,E3,0.25,0.5799,0.04,"1/4, y, z",8 g,m
3,E4,0.1453,0.6607,0.355,"x, y, z",16 h,1
4,E5,0.1159,0.0341,0.3449,"x, y, z",16 h,1
5,E6,0.0858,0.25,0.3758,"x, 1/4, z",8 g,m
6,E7,0.198,0.5972,0.2675,"x, y, z",16 h,1
7,E8,0.25,0.6338,0.1625,"1/4, y, z",8 g,m
8,E9,0.1345,0.6607,0.2966,"x, y, z",16 h,1
9,E10,0.25,0.5715,0.3141,"1/4, y, z",8 g,m
10,E11,0.0352,0.1948,0.4259,"x, y, z",16 h,1
