,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0781,0.125,0.5312,"x, y, z",192 i,1,1
1,V2,4,0.2036,0.2505,0.3371,"x, y, z",192 i,1,1
2,V3,4,0.0197,0.0666,0.2772,"x, y, z",192 i,1,1
3,V4,4,0.0614,0.1417,0.4691,"x, y, z",192 i,1,1
4,V5,4,0.0192,0.1839,0.2778,"x, y, z",192 i,1,1
5,V6,4,0.0413,0.1253,0.2995,"x, y, z",192 i,1,1
6,V7,4,0.0215,0.1049,0.3594,"x, y, z",192 i,1,1
7,V8,4,0.1015,0.1015,0.3141,"x, x, z",96 g,m,2
8,V9,4,0.1015,0.1015,0.4347,"x, x, z",96 g,m,2
9,V10,4,0.082,0.082,0.3744,"x, x, z",96 g,m,2
