,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,10,19,32,48,68,92,118,148,185,725,4.6.4.6.5.6
1,V2,4,10,19,32,48,69,95,124,159,199,760,4.6.4.6.5.6
2,V3,4,10,19,32,49,71,99,132,166,204,787,4.6.4.6.5.6
3,V4,4,10,19,32,48,68,93,121,152,193,741,4.6.4.6.5.6
4,V5,4,10,20,34,52,75,103,137,176,217,829,4.6.4.6.6.6
5,V6,4,10,19,33,50,73,101,132,169,211,803,4.6.4.6.5.6
6,V7,4,10,19,32,49,70,97,127,160,204,773,4.6.4.6.5.6
7,V8,4,10,19,32,50,72,100,134,167,207,796,4.6.4.6.5.6
8,V9,4,10,19,32,48,68,94,121,153,196,746,4.6.4.6.5.6
9,V10,4,10,19,32,48,70,96,125,162,201,768,4.6.4.6.5.6
