,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1015,0.1015,0.5312,"x, x, z",96 g,m
1,E2,0.1015,0.1485,0.5312,"x, 1/4-x, z",96 g,m
2,E3,0.0546,0.125,0.5546,"x, 1/8, 1/2+x",96 h,2
3,E4,0.0697,0.1334,0.5001,"x, y, z",192 i,1
4,E5,0.227,0.227,0.3371,"x, x, z",96 g,m
5,E6,0.1935,0.2404,0.3072,"x, y, z",192 i,1
6,E7,0.2113,0.2809,0.3477,"x, y, z",192 i,1
7,E8,0.1744,0.2395,0.3483,"x, y, z",192 i,1
8,E9,0.0432,0.0432,0.2772,"x, x, z",96 g,m
9,E10,0.9963,0.0666,0.2537,"x, y, 1/4-y",96 g,m
10,E11,0.0305,0.0959,0.2883,"x, y, z",192 i,1
11,E12,0.0848,0.1652,0.4691,"x, 1/4-x, z",96 g,m
12,E13,0.0815,0.1216,0.4519,"x, y, z",192 i,1
13,E14,0.0427,0.2073,0.2778,"x, 1/4-x, z",96 g,m
14,E15,0.0,0.203,0.297,"0, y, 1/2-y",96 h,2
15,E16,0.9957,0.1839,0.2543,"x, y, 1/4-x",96 g,m
16,E17,0.0303,0.1546,0.2886,"x, y, z",192 i,1
17,E18,0.0314,0.1151,0.3295,"x, y, z",192 i,1
18,E19,0.0714,0.1134,0.3068,"x, y, z",192 i,1
19,E20,0.0,0.1227,0.3773,"0, y, 1/2-y",96 h,2
20,E21,0.0518,0.0935,0.3669,"x, y, z",192 i,1
21,E22,0.125,0.125,0.3141,"1/2, 1/8, z",48 f,mm2
22,E23,0.0918,0.0918,0.3442,"x, x, z",96 g,m
23,E24,0.125,0.125,0.4347,"1/8, 1/8, z",48 f,mm2
24,E25,0.0918,0.0918,0.4045,"x, x, z",96 g,m
