,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.3426,0.4813,"0, y, z",48 j,m,2
1,V2,4,0.0,0.3426,0.4439,"0, y, z",48 j,m,2
2,V3,4,0.0,0.3426,0.4064,"0, y, z",48 j,m,2
3,V4,4,0.0,0.3426,0.3691,"0, y, z",48 j,m,2
4,V5,4,0.0371,0.1839,0.4813,"x, y, z",96 l,1,1
5,V6,4,0.0561,0.2103,0.4625,"x, y, z",96 l,1,1
6,V7,4,0.0187,0.3162,0.3876,"x, y, z",96 l,1,1
7,V8,4,0.0374,0.2897,0.4064,"x, y, z",96 l,1,1
8,V9,4,0.0187,0.2632,0.4252,"x, y, z",96 l,1,1
9,V10,4,0.0561,0.2632,0.4252,"x, y, z",96 l,1,1
