,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,6,12,12,12,16,24,14,18,24,143,3.12.3.12.3.32
1,V2,4,6,10,8,18,18,22,14,24,36,161,3.6.3.6.3.32
2,V3,4,6,10,8,18,18,28,14,36,18,161,3.6.3.6.3.32
3,V4,4,6,12,12,12,18,36,30,12,18,161,3.32.3.48.3.48
4,V5,4,6,10,8,18,17,21,10,24,24,143,3.6.3.6.3.12
5,V6,4,6,10,8,18,17,21,10,24,24,143,3.6.3.6.3.12
6,V7,4,6,10,8,18,18,28,14,36,18,161,3.6.3.6.3.48
7,V8,4,6,10,8,18,18,22,14,24,36,161,3.6.3.6.3.48
8,V9,4,6,10,8,18,17,21,10,24,24,143,3.6.3.6.3.12
9,V10,4,6,12,12,12,16,24,14,18,24,143,3.12.3.12.3.48
