,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3426,0.5,"0, y, 1/2",24 g,mm2
1,E2,0.0,0.3426,0.4626,"0, y, z",48 j,m
2,E3,0.9906,0.3293,0.4721,"x, y, z",96 l,1
3,E4,0.0,0.3426,0.4251,"0, y, z",48 j,2
4,E5,0.9906,0.3293,0.4534,"x, y, z",96 l,1
5,E6,0.0,0.3426,0.3877,"0, y, z",48 j,2
6,E7,0.0093,0.3294,0.397,"x, y, z",96 l,1
7,E8,0.0,0.3558,0.3558,"0, y, y",24 h,mm2
8,E9,0.0093,0.3294,0.3784,"x, y, z",96 l,1
9,E10,0.0371,0.1839,0.5,"x, y, 1/2",48 j,m
10,E11,0.0466,0.1971,0.4719,"x, y, z",96 l,1
11,E12,0.0749,0.2112,0.4625,"x, y, z",96 l,1
12,E13,0.0655,0.2235,0.4719,"x, y, z",96 l,1
13,E14,0.0655,0.2235,0.4532,"x, y, z",96 l,1
14,E15,0.0,0.3162,0.3876,"0, y, z",48 j,m
15,E16,0.028,0.302,0.397,"x, y, z",96 l,1
16,E17,0.028,0.2756,0.4158,"x, y, z",96 l,1
17,E18,0.0468,0.2756,0.4158,"x, y, z",96 l,1
18,E19,0.0,0.2632,0.4252,"0, y, z",48 j,m
19,E20,0.0374,0.2632,0.4252,"x, y, z",96 l,1
20,E21,0.0655,0.25,0.4345,"x, 1/4, 1/2-x",48 i,2
